review_id,hotel_id,attraction_id,sentiment
REV-001,LUX-01,NULL,Positive
REV-002,LUX-07,NULL,Neutral
REV-003,NULL,1,Neutral
REV-004,NULL,2,Positive
REV-005,BUD-08,NULL,Positive
REV-006,LUX-09,NULL,Neutral
REV-007,NULL,6,Positive
REV-008,NULL,4,Positive
REV-009,MID-02,NULL,Positive
REV-010,NULL,7,Positive
REV-011,LUX-08,NULL,Neutral
REV-012,NULL,12,Positive
REV-013,BUD-06,NULL,Neutral
REV-014,NULL,22,Negative
REV-015,NULL,17,Positive
REV-016,NULL,5,Positive
REV-017,NULL,23,Positive
REV-018,BUD-01,NULL,Positive
REV-019,MID-05,NULL,Positive
REV-020,NULL,13,Neutral
REV-021,NULL,15,Positive
REV-022,BUD-09,NULL,Positive
REV-023,MID-09,NULL,Negative
REV-024,NULL,19,Neutral
REV-025,NULL,16,Neutral
REV-026,LUX-11,NULL,Positive
REV-027,NULL,20,Positive
REV-028,NULL,3,Positive
REV-029,BUD-03,NULL,Positive
REV-030,MID-03,NULL,Neutral
